""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Malchin.Malchin"	"ETH-4090"	"bone"	"nd"	"Malchin"	"Neolithic"	"Trichterbecher-North Group"	53.733	12.7833	"14C"	4990	100	"Kiel DB 2807"	"neolithic"	"bone"	-0.05	"#990033"	4990
"Malchin.Malchin1"	"ETH-4090"	"bone"	"nd"	"Malchin"	"Neolithic"	"Trichterbecher-North Group"	53.733	12.7833	"14C"	4990	100	"Kiel DB 2807"	"neolithic"	"bone"	0.05	"#3058e5"	4990
"Malchin 3.Malchin 3"	"UZ-4090"	"bone"	"nd"	"Malchin 3"	"Neolithic"	"Trichterbecher-North Group"	53.7125	12.745	"14C"	4990	100	"Terberger and Piek 1997, 10"	"neolithic"	"bone"	-0.05	"#990033"	4990
"Malchin 3.Malchin 31"	"UZ-4090"	"bone"	"nd"	"Malchin 3"	"Neolithic"	"Trichterbecher-North Group"	53.7125	12.745	"14C"	4990	100	"Terberger and Piek 1997, 10"	"neolithic"	"bone"	0.05	"#3058e5"	4990
"Målevgård.Målevgård"	"AAR-1851.2"	"charcoal"	"food crust"	"Målevgård"	"Neolithic"	"Trichterbecher-North Group"	55.7597	12.3313	"14C"	5740	100	"Koch 1998, 279."	"neolithic"	"charcoal"	-0.05	"#990033"	5740
"Målevgård.Målevgård1"	"AAR-1851.2"	"charcoal"	"food crust"	"Målevgård"	"Neolithic"	"Trichterbecher-North Group"	55.7597	12.3313	"14C"	5740	100	"Koch 1998, 279."	"neolithic"	"charcoal"	0.05	"#3058e5"	5740
"Mallaha.Mallaha"	"Ly-1661"	"charcoal"	"nd"	"Mallaha"	"Epipalaeolithic"	"Natufian"	33.13	35.58	"14C"	13880	760	"Bar-Yosef and Valla 1978, Weinstein 1984, Schyle 1996"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	370
"Mallaha.Mallaha1"	"OxA-543"	"organic"	"bread wheat"	"Mallaha"	"Epipalaeolithic"	"Natufian"	33.13	35.58	"14C"	370	110	"Housley 1994"	"epipalaeolithic"	"other"	0.05	"#3058e5"	13880
"MÃ¸llegabet II.MÃ¸llegabet II"	"K-6681"	"wood"	"nd"	"MÃ¸llegabet II"	"Meso/Neo"	"Ertebølle"	54.9011	10.42	"14C"	7190	100	"Kiel DB 3736"	"other"	"other"	-0.05	"#990033"	6740
"MÃ¸llegabet II.MÃ¸llegabet II1"	"K-5640"	"wood"	"nd"	"MÃ¸llegabet II"	"Epipalaeolithic"	"Mesolithic"	54.9011	10.42	"14C"	6740	90	"Kiel DB 3734"	"epipalaeolithic"	"other"	0.05	"#3058e5"	7190
"Malnas Bai.Malnas Bai"	"Gd-5858"	"charcoal"	"nd"	"Malnas Bai"	"nd"	"Cucuteni"	46.03	25.827	"14C"	6780	80	"Lazarovci 2006"	"other"	"charcoal"	-0.05	"#990033"	5720
"Malnas Bai.Malnas Bai1"	"Gd-4690"	"charcoal"	"nd"	"Malnas Bai"	"nd"	"Cucuteni"	46.03	25.827	"14C"	5720	110	""	"other"	"charcoal"	0.05	"#3058e5"	6780
"Malonne.Malonne"	"OxA-5042"	"bone"	"human"	"Malonne"	"nd"	"nd"	50.4167	4.7833	"14C"	10450	120	" "	"other"	"bone"	-0.05	"#990033"	10450
"Malonne.Malonne1"	"OxA-5042"	"bone"	"human"	"Malonne"	"nd"	"nd"	50.4167	4.7833	"14C"	10450	120	" "	"other"	"bone"	0.05	"#3058e5"	10450
"Malyan.Malyan"	"TUNC-31"	"nd"	"nd"	"Malyan"	"Chalcolithic"	"Warka III"	29.99	52.51	"14C"	5520	110	"Iran 10 1972, 176"	"chalcolithic"	"unknown"	-0.05	"#990033"	5520
"Malyan.Malyan1"	"TUNC-31"	"nd"	"nd"	"Malyan"	"Chalcolithic"	"Warka III"	29.99	52.51	"14C"	5520	110	"Iran 10 1972, 176"	"chalcolithic"	"unknown"	0.05	"#3058e5"	5520
"Månasken.Månasken"	"Lu-78"	"charcoal"	"nd"	"Månasken"	"Early Neolithic/Early Iron Age"	"Månasken"	55.5008	13.1642	"14C"	1830	120	"Kiel DB 2013"	"other"	"charcoal"	-0.05	"#990033"	1830
"Månasken.Månasken1"	"Lu-78"	"charcoal"	"nd"	"Månasken"	"Early Neolithic/Early Iron Age"	"Månasken"	55.5008	13.1642	"14C"	1830	120	"Kiel DB 2013"	"other"	"charcoal"	0.05	"#3058e5"	1830
